snippet,placeholder,human_name,llm_name,exact_match,neds
01_array_sum.java,v1,numbers,values,0,0.286
01_array_sum.java,v2,total,totalVar,0,0.625
01_array_sum.java,v3,length,arrayLength,0,0.545
01_array_sum.java,v4,i,i,1,1.000
02_find_max.java,v1,values,items,0,0.167
02_find_max.java,v2,max,maxValue,0,0.375
02_find_max.java,v3,n,size,0,0.000
02_find_max.java,v4,i,i,1,1.000
03_count_words.java,v1,sentence,sentenceVar,0,0.727
03_count_words.java,v2,count,counter,0,0.714
03_count_words.java,v3,trimmed,trimmedVar,0,0.700
03_count_words.java,v4,tokens,tokensVar,0,0.667
03_count_words.java,v5,word,word,1,1.000
04_reverse_string.java,v1,input,input,1,1.000
04_reverse_string.java,v2,chars,charArray,0,0.444
04_reverse_string.java,v3,start,begin,0,0.000
04_reverse_string.java,v4,end,stop,0,0.000
04_reverse_string.java,v5,temp,temp,1,1.000
05_factorial.java,v1,n,size,0,0.000
05_factorial.java,v2,result,output,0,0.167
05_factorial.java,v3,i,i,1,1.000
06_is_prime.java,v1,number,number,1,1.000
06_is_prime.java,v2,limit,upperBound,0,0.000
06_is_prime.java,v3,divisor,divisor,1,1.000
07_bank_account.java,v1,withdraw,withdrawVar,0,0.727
07_bank_account.java,v2,amount,amount,1,1.000
07_bank_account.java,v3,balance,currentBalance,0,0.500
07_bank_account.java,v4,transactions,history,0,0.250
08_bubble_sort.java,v1,arr,array,0,0.600
08_bubble_sort.java,v2,length,arrayLength,0,0.545
08_bubble_sort.java,v3,pass,iteration,0,0.111
08_bubble_sort.java,v4,j,j,1,1.000
08_bubble_sort.java,v5,swap,swapVar,0,0.571
09_linear_search.java,v1,data,dataArray,0,0.444
09_linear_search.java,v2,target,target,1,1.000
09_linear_search.java,v3,n,size,0,0.000
09_linear_search.java,v4,index,position,0,0.125
10_average.java,v1,grades,grades,1,1.000
10_average.java,v2,sum,totalSum,0,0.375
10_average.java,v3,count,count,1,1.000
10_average.java,v4,grade,grade,1,1.000
11_contains.java,v1,text,text,1,1.000
11_contains.java,v2,pattern,pattern,1,1.000
11_contains.java,v3,textLen,textLength,0,0.700
11_contains.java,v4,patternLen,patternLength,0,0.769
11_contains.java,v5,i,i,1,1.000
11_contains.java,v6,window,windowVar,0,0.667
12_even_count.java,v1,numbers,numbers,1,1.000
12_even_count.java,v2,evenCount,evens,0,0.444
12_even_count.java,v3,oddCount,odds,0,0.375
12_even_count.java,v4,n,size,0,0.000
13_fibonacci.java,v1,n,n,1,1.000
13_fibonacci.java,v2,prev,previous,0,0.500
13_fibonacci.java,v3,curr,current,0,0.571
13_fibonacci.java,v4,i,i,1,1.000
13_fibonacci.java,v5,next,next,1,1.000
14_gcd.java,v1,a,first,0,0.000
14_gcd.java,v2,b,second,0,0.000
14_gcd.java,v3,remainder,remainder,1,1.000
15_student.java,v1,courses,courses,1,1.000
15_student.java,v2,weightedSum,weightedTotal,0,0.615
15_student.java,v3,totalCredits,creditTotal,0,0.167
15_student.java,v4,course,course,1,1.000
15_student.java,v5,points,gradePoints,0,0.545
16_palindrome.java,v1,word,token,0,0.200
16_palindrome.java,v2,left,left,1,1.000
16_palindrome.java,v3,right,right,1,1.000
16_palindrome.java,v4,leftChar,leftCharacter,0,0.615
16_palindrome.java,v5,rightChar,rightCharacter,0,0.643
17_transpose.java,v1,matrix,matrix,1,1.000
17_transpose.java,v2,rows,rowCount,0,0.375
17_transpose.java,v3,cols,colCount,0,0.375
17_transpose.java,v4,result,output,0,0.167
17_transpose.java,v5,r,row,0,0.333
17_transpose.java,v6,c,col,0,0.333
18_vowel_count.java,v1,text,inputText,0,0.444
18_vowel_count.java,v2,vowels,vowelCount,0,0.500
18_vowel_count.java,v3,lower,lowercased,0,0.500
18_vowel_count.java,v4,vowelSet,vowelChars,0,0.500
18_vowel_count.java,v5,i,index,0,0.200
18_vowel_count.java,v6,ch,letter,0,0.000
19_queue.java,v1,enqueue,enqueueVar,0,0.700
19_queue.java,v2,item,element,0,0.286
19_queue.java,v3,size,currentSize,0,0.364
19_queue.java,v4,capacity,maxSize,0,0.250
19_queue.java,v5,items,buffer,0,0.000
19_queue.java,v6,tail,tailIndex,0,0.444
20_discount.java,v1,price,originalPrice,0,0.385
20_discount.java,v2,percent,rate,0,0.143
20_discount.java,v3,rate,fraction,0,0.375
20_discount.java,v4,discount,discountAmount,0,0.571
20_discount.java,v5,finalPrice,finalAmount,0,0.455
21_power.java,v1,base,baseValue,0,0.444
21_power.java,v2,exponent,power,0,0.375
21_power.java,v3,result,output,0,0.167
21_power.java,v4,absExp,absoluteExponent,0,0.375
21_power.java,v5,i,index,0,0.200
22_temperature.java,v1,celsius,celsiusTemp,0,0.636
22_temperature.java,v2,scaled,scaledValue,0,0.545
22_temperature.java,v3,fahrenheit,fahrenheitTemp,0,0.714
23_leap_year.java,v1,year,y,0,0.250
23_leap_year.java,v2,divisibleBy4,div4,0,0.333
23_leap_year.java,v3,divisibleBy100,div100,0,0.429
23_leap_year.java,v4,divisibleBy400,div400,0,0.429
24_stack.java,v1,top,topIndex,0,0.375
24_stack.java,v2,popped,value,0,0.167
24_stack.java,v3,stack,elements,0,0.000
25_cart_total.java,v1,products,cart,0,0.125
25_cart_total.java,v2,subtotal,preTaxTotal,0,0.455
25_cart_total.java,v3,tax,taxAmount,0,0.333
25_cart_total.java,v4,taxRate,salesTax,0,0.250
25_cart_total.java,v5,product,item,0,0.000
25_cart_total.java,v6,lineTotal,itemCost,0,0.222
